ListingMonth,host_total_listings,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,PricePerNight
7.2,69,8,2,2,8,2,2,3,87,1.96,147
4,0,3,1,1,1,2,2,6,97,0.99,72
4.1,3,16,6,7,7,1,2,27,99,1.54,399
4.8,1,12,2,4,6,6,1,139,99,2.46,212
2.3,3,2,1,1,1,1,3,14,96,0.52,156
2.9,5,8,2,4,6,1,2,29,98,3.88,497
7.7,4,4,1,2,5,1,3,7,90,0.11,97
7.4,77,2,1,0,1,1,30,14,98,0.21,201
0.7,0,8,1.5,2,4,8,1,17,100,3.25,603
6.2,33,6,1,1,4,2,1,79,97,5.12,103
5.2,5,2,2,1,1,1,1,81,94,5.46,35
0.8,2,6,2,2,3,4,1,24,100,3.55,238
5.4,2,5,2,2,2,1,2,8,97,0.27,240
1.1,1,2,1,1,1,1,1,15,97,1.65,102
6,1,6,1,2,3,4,3,19,98,1.88,178
7.4,2,2,1,1,1,1,5,1,100,0.17,89
5.4,1,2,1,1,1,1,1,31,92,3.97,46
5.8,1,6,1,2,3,2,2,177,99,3.72,158
4.3,5,2,1,1,1,1,2,24,99,2.72,399
0.6,5,2,1,1,1,1,1,1,100,1,100
4.3,1,2,1,1,1,2,2,5,100,1.14,100
4.7,1,2,1,1,1,1,2,51,95,1.7,103
4.2,82,3,1,0,1,1,1,26,86,4.81,7
6.2,4,2,1,1,1,1,2,7,100,1.07,140
4.6,2,3,1,1,2,2,2,21,100,0.78,151
4.9,2,2,1,1,1,1,1,55,100,1.39,81
4.4,1,4,1,1,1,4,2,81,97,1.59,96
4.4,1,4,1,2,2,4,3,1,100,0.04,178
4.6,11,2,1,1,1,2,1,10,68,0.35,105
6.8,2,2,1,1,1,2,1,80,98,1.15,103
7.3,2,4,1.5,1,1,4,2,9,93,0.3,154
2.8,2,4,1,2,2,4,2,4,100,1.01,100
4.7,1,2,1,1,1,1,2,68,94,1.24,25
5.1,1,2,1,1,1,1,2,17,94,0.32,80
2,6,6,1,1,4,2,1,24,97,1.56,129
5.3,12,3,1,1,1,1,30,3,80,0.06,117
6.6,1283,2,1,0,1,2,2,1,60,0.13,142
5.3,2,3,1,2,2,2,1,17,94,1.49,75
6.5,1,6,1,3,3,6,2,5,92,2.14,83
3.8,1,2,1.5,1,1,1,1,17,94,0.38,77
2.7,4,5,1,1,4,2,1,130,97,4.1,73
2.5,5,5,1.5,2,2,2,1,20,96,1.07,86
3.6,596,5,1,1,3,1,2,14,100,3.78,395
2.6,4,2,1,2,2,2,7,8,83,0.76,61
2.9,2,2,1,1,1,1,1,82,94,6.21,11
5,3,7,1,3,4,2,1,18,90,0.43,104
6.5,2,4,1,1,2,1,4,28,99,1.07,75
7.4,12,4,1,2,2,1,31,86,97,1.26,90
0.9,11,11,3.5,4,5,1,2,17,99,2.37,618
3.2,33,4,3,1,1,2,1,154,96,6.98,71
7.6,3,3,1,1,1,1,3,163,98,1.97,130
6.3,5,10,2.5,3,4,10,2,84,99,2.09,605
7.2,2,2,1.5,1,1,1,90,2,100,0.05,74
7.6,2,2,1,1,1,2,1,5,100,4.41,85
2,1,6,2,2,4,6,2,34,99,1.56,400
6.1,896,6,2,2,3,4,2,48,98,6.76,233
7.6,1,4,1,1,3,2,1,104,98,3.58,118
5.3,12,6,2,2,2,4,2,53,98,0.87,202
6.3,6,8,2,2,4,5,1,447,98,6.25,91
6.1,896,4,1,1,2,2,2,1,60,0.57,149
6.1,896,2,1,0,1,2,2,4,90,0.77,133
0.8,1,16,3,9,9,12,3,24,97,2.67,703
6.5,1,4,1,1,1,2,2,221,97,4.71,131
5.6,8,2,1,1,1,1,28,18,92,0.45,39
8.8,21,8,2,3,3,4,2,20,99,0.36,197
6.7,1,2,1,2,1,2,10,5,96,0.12,45
1.7,117,6,2,2,4,1,3,25,99,4.34,286
8.7,1,2,1,1,1,1,2,39,96,1.88,90
5.6,1,3,1,1,1,1,45,15,86,0.22,151
2,18,15,4,4,6,10,1,11,100,1.19,649
5.3,1,6,2,2,2,4,2,115,99,4.88,327
5.5,2,2,1,1,1,2,2,10,92,0.64,72
4.4,2,3,1,1,1,1,3,9,95,0.36,122
4.5,4,8,1,1,3,1,1,26,88,1.32,55
8.5,7,2,1,0,2,2,1,528,98,7.54,45
6,6,5,1,1,4,3,2,66,88,1.06,115
2.2,58,5,2,2,3,4,1,50,85,5.95,147
7.8,1,4,1,2,2,4,3,274,98,3.67,64
1.3,8,2,1,1,1,1,3,12,93,2.17,6
6.1,896,6,2,3,3,6,2,59,92,1.12,127
4.8,2,2,1,1,1,2,2,197,99,3.45,98
6.5,3,8,2,4,4,6,3,5,100,2.63,145
3.9,1,4,1,1,1,2,3,146,99,3.6,67
3.9,2,2,1,1,1,1,5,14,100,0.61,46
6.1,896,4,2,2,2,4,2,27,97,0.97,138
2,18,4,1,1,2,4,2,57,96,5.68,195
4.8,13,2,2.5,1,1,1,1,88,92,2.83,11
1.2,1,10,2.5,3,5,1,2,43,100,3.1,225
1.1,26,4,1,1,1,2,32,1,60,0.18,304
4.2,1,4,1,1,2,2,2,89,99,4.22,88
3,1,4,1.5,2,2,1,2,11,98,0.6,96
5.2,9,2,1,0,1,2,2,8,63,0.37,61
6.4,5,2,1,1,1,1,1,1,100,0.23,66
6.2,33,5,1,1,3,1,1,43,99,4.57,114
3.5,2,6,1,2,2,4,2,16,91,0.77,71
0.6,33,2,2,1,2,1,1,1,100,0.24,15
4.5,1,4,1,2,2,1,1,2,100,0.04,199
5,1,7,2.5,3,5,1,1,33,97,4.71,196
4.8,1,6,1,2,2,2,2,82,98,1.45,179
2.7,1,4,1,1,3,1,2,75,99,2.33,79
4,4,6,1,2,2,4,1,261,92,6.99,112
4.6,11,5,1,1,2,1,1,12,93,0.26,39
1.5,38,4,1,1,2,2,2,26,98,2.65,154
5.2,1,1,1,1,1,1,2,7,91,0.12,46
7.4,77,2,1,1,1,1,32,7,93,0.09,152
5.6,1,2,1,1,1,2,3,131,95,2.27,91
7.8,3,4,2,2,2,4,2,14,98,0.69,253
4.6,7,2,1,1,1,1,2,18,97,2.42,34
8.8,12,3,2,1,3,1,2,1,60,0.27,23
4.5,1,5,2,2,2,2,2,9,96,0.46,202
4.4,63,6,3,2,2,4,1,182,94,7.02,38
2.7,3,10,2,3,6,2,2,33,94,1.08,108
6.1,896,4,2,2,2,4,4,14,91,0.34,166
2.7,14,6,1,2,2,4,2,9,91,0.69,128
10,10,2,1,1,1,1,2,52,96,2.08,57
7.9,1,4,2,2,2,1,3,25,95,1.13,51
9.8,3,2,1,1,2,1,1,3,100,0.11,50
5.6,3,12,4.5,5,7,10,2,24,95,1.22,351
0.8,2,2,1,1,1,1,1,19,100,3.56,59
8.8,21,8,2,3,3,4,2,16,91,0.34,298
9.3,1,9,1,3,4,4,1,120,93,2.36,44
1.2,11,8,2,3,4,6,2,13,86,1.51,183
5.7,11,2,1,1,1,1,32,4,90,0.38,49
4.7,1,2,1,1,1,3,2,137,99,2.6,90
2.5,1,4,1,1,2,2,2,139,97,4.84,66
4.8,13,3,2.5,1,2,2,1,113,90,3.64,68
4.3,25,2,1,0,1,1,30,2,90,0.58,69
5.1,0,4,2,2,2,1,2,2,90,0.3,201
5.2,3,1,1,1,1,1,45,7,83,0.16,23
7.1,0,2,1,1,1,1,2,11,98,1.58,54
5.2,2,5,1,1,3,1,2,5,100,2.5,79
4,0,8,2,3,4,6,2,11,91,3.11,123
7.4,1,2,1,1,1,1,1,78,99,3.76,135
6.4,11,12,1,2,2,1,1,427,82,6.12,73
4.2,6,5,1,0,1,3,1,64,93,4.35,66
8.3,1,3,1,1,1,3,2,37,94,1.12,77
6.6,1283,2,1,0,1,2,2,17,93,1.22,143
1.7,117,3,1,1,1,1,1,9,70,1.93,255
2.7,1,2,1,1,1,1,15,6,100,0.28,148
5.1,1,4,1.5,2,2,1,2,30,99,0.51,130
7.5,1,6,3.5,3,5,1,2,19,99,0.33,302
4.8,1,4,1,2,2,4,2,26,100,0.88,177
6.2,3,2,1.5,1,1,2,21,1,100,1,50
1.5,38,2,1,0,1,2,2,43,96,3.29,196
3.8,2,6,1,2,3,4,1,67,95,1.53,137
5.5,2,2,1,1,1,1,2,13,98,2.47,48
8.6,1,1,0.5,1,1,1,2,43,100,1.44,26
6,3,1,1,1,1,1,16,10,100,0.24,71
5.4,1,4,1,2,2,1,30,109,93,1.93,125
2.1,2,5,1,2,2,4,1,42,91,2.97,97
6.6,1283,4,2,2,2,4,2,3,73,0.28,252
3.5,3,1,1,1,1,1,1,223,95,7.59,46
3.8,1,2,1,0,1,1,2,137,97,5.76,49
1.3,569,4,1,2,3,1,1,6,90,3.46,43
3.6,596,4,1,1,2,1,2,1,100,0.86,401
7.6,3,2,1,0,1,1,3,100,97,2.48,130
2.5,22,4,1,2,1,1,1,5,92,2.63,505
1.1,11,6,1,2,2,4,1,11,78,1.81,106
8.2,3,7,2,3,3,4,2,67,99,2.19,202
4.5,1,4,2,2,2,1,1,77,98,1.67,203
3.6,10,2,1,1,1,1,1,92,85,2.99,42
4.8,3,1,1.5,1,1,1,2,73,95,1.31,20
8.8,2,2,1,1,1,1,2,250,98,4.13,109
2.4,1,4,1,1,1,4,2,22,99,1.37,76
4.6,1,5,2,2,4,4,5,111,99,4.14,151
3.8,1,6,2,2,2,4,2,227,94,5.23,153
5.9,6,2,1,0,1,1,1,198,95,7.37,73
6.6,1,1,1,1,1,1,4,94,97,2.1,36
4,0,3,1,1,2,2,2,16,99,3.27,100
4.3,53,16,3,4,10,1,1,27,98,1.41,891
6.9,1,2,1,1,1,1,5,39,99,1.8,86
3.9,2,2,1,1,1,1,7,9,100,0.41,39
1.1,8,2,1,0,0,1,1,47,98,5.18,102
4.4,2,3,1,1,1,1,1,228,99,4.34,33
0.5,0,1,1,1,1,1,1,4,60,0.91,152
3,2,4,1,1,2,1,1,40,98,1.26,93
1.8,2,7,1,2,3,2,1,76,95,3.96,149
4.8,0,4,2,2,2,1,2,23,100,2.91,69
5.2,1,1,1,1,1,1,1,22,99,0.88,104
4,3,6,1,3,3,4,1,107,99,2.28,134
6,1,5,1,2,2,4,1,154,99,4.34,67
3.6,596,4,1,1,2,1,2,1,100,0.63,394
3.6,3,2,1,1,1,1,3,147,99,3.54,54
0.5,0,3,1,1,2,1,1,8,90,1.8,125
4,2,5,1,3,3,2,2,16,100,1.46,123
5.2,5,2,2,1,1,1,1,63,93,4.32,24
4.7,1,6,1,2,3,4,1,154,96,7.75,126
6.6,1,4,1,1,2,1,2,29,97,3.55,108
1.6,29,4,1,1,1,2,1,14,94,2.41,45
3.9,1,3,2,1,1,1,1,25,84,0.97,42
4.2,1,4,1,1,4,1,1,175,95,3.66,35
3.7,1,1,1,1,1,1,1,38,92,2.92,74
5,0,1,1,1,1,1,1,8,100,3.04,44
5.1,1,4,1,1,2,2,2,26,97,2.79,69
5.9,1,8,2,3,4,6,2,33,98,2.41,250
6.1,7,8,2,3,4,4,1,69,92,6.39,286
4,2,1,1,1,1,1,1,12,97,0.26,99
7.3,2,2,1,1,1,1,2,7,97,1.15,52
1.2,0,2,1,0,1,1,1,5,100,0.74,116
7.1,1,2,1,1,1,2,3,26,100,0.48,167
4.6,1,12,2.5,4,6,10,2,54,95,3.92,198
10.4,1,4,1,1,1,1,2,105,99,4.12,116
6.6,48,2,1.5,1,1,1,1,24,92,1.09,81
2.8,2,10,1.5,3,3,1,1,82,92,2.66,291
3.3,2,4,1,2,2,4,2,110,93,2.97,107
8.5,7,4,1,3,3,1,1,208,99,5.38,78
1.1,3,6,1,2,2,4,1,32,93,2.64,54
4.7,2,4,1,2,2,1,1,12,91,0.55,189
4.4,63,5,1,2,2,4,1,130,91,6.66,25
6.5,2,6,2,2,2,4,1,13,95,0.24,204
4.6,4,7,1,5,5,2,1,58,93,2.8,198
0.4,0,2,1,1,1,1,1,3,100,0.9,51
7.8,5,7,1,3,3,3,1,93,98,3.16,173
2.8,1,4,3,3,1,1,1,20,95,2.14,101
7.5,23,4,2,2,2,1,1,159,97,5.87,120
1.8,2,7,1,2,3,2,1,43,91,2.27,166
3.2,10,4,1,1,1,3,1,119,94,5.93,65
3.4,1,6,1.5,3,4,4,2,13,88,1.46,80
6.2,33,6,2,1,4,2,1,79,98,4.57,132
4.7,7,8,2.5,3,3,6,3,169,97,3.12,299
1.4,1,8,2,3,4,1,1,7,97,0.94,197
3.7,1,6,1,3,3,1,2,43,100,5.12,174
4.3,1,4,1,1,0,1,1,9,98,0.22,349
5.2,2,6,4,4,6,4,3,8,100,0.15,497
8.3,3,4,2.5,2,2,4,3,43,99,1.48,227
0.5,0,2,1,1,1,1,1,3,100,0.65,77
6.9,5,4,2,2,3,1,2,91,100,2.54,288
4.2,1,5,1,1,1,2,2,242,98,5.55,119
2.6,1,4,1,2,2,3,2,24,95,3.32,134
3.9,2,6,1,2,2,4,2,31,95,2.71,129
3.6,3,2,1,1,1,1,3,188,99,4.67,40
2,1,4,1,0,2,2,3,4,100,0.26,97
4.6,2,5,1,1,2,2,3,149,98,2.75,80
4.4,3,2,1,1,1,1,2,35,98,0.77,41
6,3,6,1.5,3,3,4,1,104,99,1.54,164
2.9,10,12,2,3,7,8,2,46,98,4.48,302
2.6,1,4,1,1,2,2,2,1,100,1,54
6.3,2,2,1,1,1,1,30,20,98,0.28,49
4.8,16,2,1,1,1,1,2,15,91,0.33,51
1.2,5,2,1,0,1,2,3,12,95,1.04,75
6.2,4,4,1,1,2,1,1,33,94,0.73,64
7.6,1,2,1,1,1,2,1,151,98,5.49,47
6,1,4,1,2,2,2,1,103,95,3.43,159
6.6,2,3,1,1,1,2,3,6,97,1.24,250
5.2,0,10,1,2,4,6,1,10,98,2.38,299
7.8,0,4,2,2,2,4,3,1,100,0.17,393
1.2,2,2,1,1,1,1,3,22,100,1.67,68
2.4,0,4,1,2,3,2,1,3,100,1,81
3.8,1,4,1,2,2,1,100,24,95,1.18,63
1.4,1,10,2,4,5,8,2,28,99,2.02,326
2.8,1,2,1,1,1,1,2,7,100,0.21,113
5.2,9,2,1,0,1,2,2,6,87,0.65,105
2.9,2,4,1,1,3,1,2,10,90,1.95,66
3.9,2,4,1,3,3,1,3,11,98,0.25,253
8.6,2,2,1,1,1,1,2,166,94,2.06,75
4.4,2,13,2,5,6,6,2,128,99,2.86,298
5.1,4,2,2,1,1,2,1,71,98,1.18,196
4,32,4,1,1,2,1,17,2,100,0.4,173
1.1,1,4,1,0,0,2,1,121,96,9.6,49
5.6,1,2,1,1,1,1,1,22,99,0.73,66
4.1,1,6,1,2,4,3,1,195,99,4.74,121
1.2,1,2,1,1,1,1,1,35,98,3.15,59
4.5,1,8,2,3,4,5,2,123,96,2.53,85
4.6,6,1,1,1,1,1,1,92,92,2.24,40
3.7,9,8,2,3,10,2,2,6,87,0.69,125
5.7,2,4,1,1,2,2,2,10,98,1.08,155
3,1,5,1,2,4,5,2,50,100,2.53,93
3.4,22,6,1,2,2,3,31,2,100,2,81
0.9,0,2,1,1,1,3,2,19,97,2.47,79
3.8,7,2,1,1,1,2,2,25,97,2.28,56
2.4,1,3,1,1,1,3,1,90,99,3.24,48
6.9,1,2,1,1,1,1,2,8,98,0.51,84
5.1,2,10,2,3,4,6,2,36,99,1.09,302
8.7,1,5,1,1,3,1,1,161,92,8.2,50
6.6,1283,2,1,0,1,2,2,2,90,0.17,142
2.5,1,4,1,2,2,1,3,21,94,1.11,60
2.2,58,3,1,0,1,2,1,85,89,5.15,113
4.2,82,2,1,0,1,1,1,125,86,7.73,10
4.7,1,2,0.5,1,1,1,2,75,96,1.81,43
3.8,2,5,1,1,2,2,2,10,100,1.23,100
4.6,1,4,1,1,2,2,2,2,100,0.06,150
4.9,0,7,2,2,3,7,2,1,100,0.35,107
5.4,1,2,1,1,1,1,3,3,100,0.32,164
4.6,8,16,2.5,3,6,1,1,8,100,0.9,394
4.7,1,4,1,1,2,1,1,28,91,2.67,100
5.6,2,6,1,2,3,2,1,103,100,3.56,102
4.6,5,8,1,3,3,4,2,2,100,1.76,100
2.5,4,14,2.5,3,4,4,3,94,96,3.99,171
5,1,3,1,0,1,1,2,37,90,1.76,64
0.7,2,2,1,1,1,1,2,1,100,1,204
3.6,13,2,1,1,1,1,2,10,86,0.72,16
1.6,2,4,1,0,2,1,2,1,100,0.26,397
3.6,596,4,1,1,2,1,2,3,93,1.29,397
7.1,4,4,1,0,2,2,2,292,99,3.71,144
5.4,2,5,1,2,2,2,2,96,99,4.96,147
2.2,58,6,2,3,3,3,1,15,97,3.78,142
8.5,4,4,1,2,2,4,1,67,96,1.83,107
4.4,1,7,1,3,3,4,3,98,91,1.94,76
1.2,1,2,2,1,1,1,1,29,99,5.3,93
3.4,7,9,1,2,5,1,2,27,95,2.11,204
4.4,2,2,1,1,2,1,3,7,100,0.24,145
3.8,2,3,1,0,2,2,2,8,100,1.32,77
2.1,1,2,1,1,2,3,1,48,96,5.03,93
3.9,4,7,3,3,3,6,3,3,100,0.07,598
0.7,1,3,1,1,2,1,1,8,95,3.2,155
3.7,9,32,8,11,32,2,2,2,90,0.53,743
7.4,1,4,1,1,2,1,28,15,95,0.88,70
2.1,1,4,1,2,3,1,2,39,98,1.65,42
2,1,6,1,2,2,6,2,2,100,0.3,598
6.2,33,8,2,2,6,3,1,108,99,7,143
8.2,3,2,1,1,1,1,2,48,99,1.56,47
5,2,2,1,1,2,2,2,78,91,1.71,55
4.3,3,6,1,3,4,4,3,45,99,1.62,87
4.2,82,2,1,0,1,1,1,26,82,5.23,5
3.6,596,6,2,2,3,1,2,58,98,3.31,280
4.6,1,5,1,2,3,1,2,19,99,2.04,168
7,1,4,1,1,1,2,2,19,98,2.33,100
7.8,15,10,3,4,7,1,4,76,93,1.8,254
6.4,2,6,1,3,4,1,2,92,97,3.34,163
4.4,1,4,1,1,1,2,1,85,99,3.76,50
6.1,896,6,2,2,3,4,2,75,94,1.79,219
1.2,5,5,1,2,3,5,1,61,93,5.21,122
2.8,1,10,1,2,5,8,1,11,100,2.05,239
6.4,2,5,2,2,2,4,2,139,97,2.37,94
2.8,1,8,1,3,6,4,2,57,97,1.77,239
4.5,2,8,2.5,3,5,8,2,23,96,1.64,202
4.7,12,2,1.5,1,6,1,2,17,98,0.37,49
1.4,5,2,1,1,2,1,2,4,95,0.43,57
7.1,1,2,1,1,1,1,1,165,100,3.61,147
4.6,1,2,1,1,1,1,3,1,60,0.09,99
6.7,18,12,2.5,3,3,5,3,192,97,4.09,74
3.7,1,3,1,1,2,1,2,28,94,0.66,60
2,1,5,1,2,3,4,2,81,95,3.44,133
3.4,2,5,1,2,2,4,3,98,100,5.38,143
1.5,38,4,1,1,2,2,2,23,97,2.4,148
2.5,1,5,1,3,3,5,1,191,99,6.39,111
5.2,1,3,1,2,2,1,2,26,79,0.84,37
6.2,7,4,1,1,1,2,1,73,95,5.53,75
4.3,53,16,4.5,7,16,10,1,6,97,0.87,797
6.6,1,4,1,2,2,2,2,78,95,3.31,89
5.6,1,2,1,1,1,1,1,294,97,10.97,38
6.2,2,6,1,3,3,1,1,4,90,0.12,134
4.8,1,2,1,1,1,1,1,301,97,5.33,50
2.4,2,6,1,2,2,1,1,70,98,4.35,121
4.2,1,5,1,3,3,5,2,37,100,1.19,205
7.5,1,4,1,1,1,2,4,131,97,2.32,146
2.7,1,5,1,2,2,3,2,19,99,3.99,76
4.1,1,2,1,1,1,2,2,32,96,2.27,30
4.8,1,2,1,1,1,1,2,2,100,0.21,152
4.2,1,4,1,1,3,4,2,119,97,2.85,130
5,4,2,1,1,1,1,1,79,91,1.73,59
4.3,3,2,2,1,0,1,7,1,100,0.23,38
1.7,117,6,2,2,3,1,3,26,92,4.19,300
6.6,21,2,1,1,1,2,1,10,98,0.87,200
6.1,1,5,1,2,2,2,3,24,89,0.45,174
0.6,0,6,2,3,3,4,3,12,95,1.77,299
7.1,4,4,1,2,3,4,2,176,98,2.15,158
3.9,1,6,2,3,3,4,3,90,98,3.45,118
4.8,7,2,1.5,1,1,1,1,31,95,0.74,54
0.9,1,2,1,1,1,1,2,40,92,4.18,45
4.1,24,1,1,1,4,1,5,61,95,6.68,147
5.9,1,1,1,1,1,1,4,23,97,0.74,59
3.3,1,4,1,2,4,4,1,127,99,7.53,110
6.6,48,2,2,1,1,1,1,102,95,2.09,89
2.5,7,1,1,1,1,1,31,1,100,0.28,46
4.3,0,2,1,1,1,2,2,1,100,0.19,118
3.6,596,6,2,2,4,1,2,6,100,3.4,398
6.6,1283,3,1,2,2,3,2,10,86,0.88,254
7.3,10,3,1,1,1,1,60,4,100,0.08,153
4.8,26,6,1,2,3,1,1,58,93,3.15,74
4.7,2,6,1,3,3,6,2,102,98,3.64,110
1.7,7,16,4,7,7,14,2,4,95,2.26,396
7.2,1,8,1.5,3,3,2,2,223,97,3.83,153
7.4,2,1,1,1,1,1,40,44,94,0.94,35
3.5,1,2,1,0,1,1,1,35,97,6.07,71
6.6,1283,2,1,1,1,2,2,1,100,0.2,171
5.3,3,4,1,2,2,1,2,46,96,1.48,118
2.3,6,3,1,1,1,1,2,105,96,4.89,172
6.4,11,2,1,1,1,1,1,262,87,4.95,51
2.9,2,4,1,1,2,2,3,2,90,1.13,104
5.9,1,2,1,1,1,2,2,7,100,0.21,202
2.7,1,12,2,4,7,1,2,76,88,4.94,400
6.4,2,4,1,1,2,1,32,86,97,2.06,54
4.8,1,2,1,1,1,1,1,163,98,3.33,109
3.9,1,4,1,1,2,2,2,105,92,2.26,84
2.2,58,4,1,2,2,4,1,38,90,4.03,143
6.8,3,2,1,0,1,2,2,134,98,5.8,141
6.1,896,6,2,2,3,4,2,1,100,0.39,220
6.4,3,6,2.5,3,3,6,13,19,98,0.42,202
1.7,2,5,2,2,2,4,2,25,96,1.32,154
4.8,26,5,2,2,3,1,1,102,92,3.52,138
6.6,1283,6,2,3,3,6,2,2,100,0.17,551
7.6,2,2,1,1,1,2,2,2,100,1.76,64
5.4,8,2,2.5,1,1,1,1,342,97,7.69,20
6.7,1,8,2,3,4,4,18,1,100,0.59,129
4.4,3,6,1,3,3,4,2,94,97,3.22,145
1.9,5,8,1,3,4,2,1,68,90,5.19,249
2.6,6,12,2.5,4,8,12,3,2,100,0.34,504
3.4,7,10,1,3,7,1,2,29,89,2.79,247
4.6,5,6,1,2,4,4,2,121,96,5.3,149
8,5,5,1,2,2,4,1,55,98,3.47,148
2.4,19,2,1,1,2,1,1,1,100,0.04,46
7.8,1,2,1,1,1,1,1,21,100,1.99,78
6.6,1283,2,1,0,1,2,2,24,95,2.24,141
8,1,6,1,2,2,4,2,75,91,3.75,86
3.5,38,5,1,1,2,4,2,22,95,3.25,98
6.6,21,2,1,0,1,1,1,35,94,7.55,62
2.7,1,4,1,1,2,2,1,111,99,7.16,81
1.6,29,10,2,3,4,10,1,18,99,5.51,218
4.7,2,4,2,2,2,4,2,26,97,0.46,87
6.6,48,2,1,1,1,1,1,27,91,1.13,82
2,22,12,2,4,6,9,1,6,97,0.78,377
3.2,0,2,1,1,1,1,1,6,100,1.03,90
5.5,2,3,1,2,2,3,2,8,97,0.39,183
4.7,4,5,1,2,2,1,1,3,93,0.52,204
3.6,596,2,1,1,1,1,2,18,98,2.51,401
1.8,6,4,1,0,3,1,2,90,95,4.46,79
7.4,14,15,2,4,5,10,1,75,98,2.61,648
5.6,1,7,2.5,3,5,1,3,13,100,0.41,400
5.9,3,8,2,3,4,6,2,2,100,0.39,145
1.7,1,3,1,1,1,2,1,11,100,1.2,59
1.7,7,6,1,2,2,4,2,92,95,4.78,103
5.1,2,2,1,1,1,1,2,3,93,0.32,75
3.5,3,5,1,2,3,2,1,168,99,4.04,104
0.7,2,2,1,1,1,1,2,18,99,2.51,50
2,3,7,2,3,3,4,2,40,99,1.87,215
2.2,58,8,2,3,3,5,1,59,89,3.5,234
6.7,1,5,1,1,2,2,2,54,97,1.2,100
2.2,58,4,1,2,2,2,1,48,92,3.58,82
6.9,2,4,1,1,1,2,2,154,98,2.79,128
1.6,4,2,2,1,1,1,2,2,90,0.58,49
5.5,1,2,1,1,1,1,1,121,96,2.12,100
3.6,1,2,1,0,1,1,3,111,97,2.63,71
5.8,4,4,1,2,2,4,2,3,93,0.16,494
2.1,1,6,1,2,2,4,1,27,100,3.73,67
8.3,1,10,1,3,8,6,2,44,97,0.94,349
6.4,1,4,1,2,2,2,1,41,97,3.51,71
3.7,9,22,6,8,22,2,2,1,80,0.35,248
5.3,7,8,2,3,4,4,45,2,100,0.21,402
7.1,3,10,2,4,6,8,2,22,98,0.62,351
8.2,5,7,1,2,4,4,2,196,94,3.49,120
8,1,6,1,2,3,4,2,100,97,3.36,97
4.8,3,6,1,2,4,4,2,296,98,6.4,125
3.5,4,2,1,1,1,1,1,42,94,2.9,37
1.5,1,4,1,2,2,2,1,64,99,4.22,102
1.9,1,4,1,2,2,1,2,112,100,6.79,115
7.1,15,4,1,1,1,1,30,2,100,0.22,156
1.1,26,4,1,1,1,4,32,2,100,0.29,413
2.3,2,7,2,3,4,6,2,114,96,4.38,253
4.2,82,2,1.5,0,0,1,1,47,85,6.78,10
4.6,1,1,1,1,1,1,2,53,97,1.63,81
2.9,2,4,1,2,2,1,2,21,100,2.14,164
4.1,1,4,1,2,2,2,1,11,96,1.25,249
0.5,19,4,1,1,1,2,2,13,92,3.1,36
2.9,3,12,2,4,4,8,2,65,98,3.24,146
7.4,77,3,1,1,2,1,28,21,100,0.25,85
2.6,1,8,2,3,5,6,2,164,97,5.45,87
5.3,2,2,1,0,1,1,3,280,99,4.47,123
1.2,1,3,1,2,2,3,2,85,99,7.08,50
2.7,4,5,1,1,3,2,1,91,99,2.92,88
4.1,1,4,1,3,3,1,1,49,100,3.28,125
1.5,28,2,1,1,1,1,1,25,92,2.98,55
4.4,63,3,1,0,1,2,1,196,96,5.75,42
2.1,1,4,1,1,1,2,2,75,99,3.46,115
1,5,5,1,1,2,4,1,76,94,9.62,73
4.1,24,1,1,1,4,1,7,14,84,0.54,155
3.6,3,2,1,1,1,2,4,3,100,0.14,58
1.1,1,8,1,3,5,6,2,11,100,1.99,129
6.7,18,6,1,1,1,2,1,47,94,2.36,157
6.2,33,7,1,2,4,3,1,105,95,8.16,108
3.9,8,3,1,1,2,2,2,220,97,8.03,132
6.9,2,4,1,2,3,2,2,131,98,2.83,122
4.2,82,2,1,0,1,1,1,68,86,5.54,8
6.2,33,7,2,2,4,2,1,16,99,4.9,116
1.9,1,3,1,1,1,1,1,115,99,5.41,124
6.7,1,6,1,2,3,3,2,67,98,2.82,110
2.6,22,7,2,2,4,4,3,43,93,2.03,203
4.3,4,6,2,2,2,4,2,197,96,4.68,152
6.6,48,2,1,1,1,1,1,55,95,2.24,89
6.7,2,3,1,2,2,2,30,31,95,0.55,107
3.4,22,4,1,2,2,2,31,2,100,0.71,72
7.8,6,2,1,1,1,1,1,218,95,5.49,30
5.6,2,12,2,3,4,8,1,35,99,1.06,710
8.5,1,6,1,2,4,6,3,16,93,0.87,196
0.4,9,11,1,3,0,3,1,1,100,1,152
4.9,1,1,1,1,1,1,15,3,100,0.13,35
4,2,2,1,1,1,1,2,46,100,3,65
6.4,36,4,1,1,2,1,31,1,100,0.63,78
3.3,2,16,2,3,4,9,1,60,87,3.18,204
0.7,0,16,3.5,5,11,6,2,15,99,2.88,198
6.7,1,6,2,3,3,6,2,45,95,3.44,69
8.3,2,3,1,2,2,3,2,49,96,2.88,156
0.5,19,4,1,1,1,2,2,8,100,1.95,43
6.2,1,4,2,2,2,4,3,9,100,0.79,129
7.7,1,3,1,1,2,2,2,66,100,2.2,72
1.4,2,9,2,3,5,4,1,58,98,3.71,134
3.1,2,5,1,2,2,6,2,57,99,2.57,80
