ListingMonth,host_total_listings,accommodates,bathrooms,bedrooms,beds,guests_included,minimum_nights,number_of_reviews,review_scores_rating,reviews_per_month,PricePerNight
1.7,117,8,2,3,4,1,3,43,97,4.51,299
2.9,1,4,1,2,3,4,2,81,95,2.92,75
6.1,896,8,3.5,4,4,8,2,58,93,1.98,352
2.2,44,5,1,2,2,1,1,48,94,2.54,104
1.5,28,3,1,1,2,2,1,38,97,4.49,75
8.8,1,2,1,1,1,2,1,84,93,1.5,43
6.6,1283,2,1,0,1,2,2,24,93,1.78,145
4.2,3,1,1,1,1,1,1,13,73,0.6,75
3.1,2,2,1,1,1,1,1,74,95,2.12,66
4.1,1,2,1,1,1,1,5,6,70,0.33,49
9.7,1,2,1,1,1,1,2,124,97,1.96,107
5,2,2,1,1,1,1,2,97,97,4.68,83
5.9,2,2,1,1,1,1,1,171,95,3.82,32
4.4,1,4,1,2,3,2,1,242,99,4.89,172
0.7,6,4,2,2,2,1,2,19,95,2.81,255
7.2,1,4,1,2,2,1,2,86,95,1.93,110
1.5,1,2,1,1,1,1,1,1,80,0.06,202
1.7,117,6,2,2,4,1,3,12,97,2.07,285
1.5,28,1,2,1,1,1,1,36,86,3.41,27
4.9,2,6,1,1,1,1,3,30,93,2.63,149
4.3,25,2,1,0,1,1,31,1,100,0.05,133
1.7,117,5,2,2,2,1,3,22,95,2.58,298
0.5,1,6,1,1,4,4,1,28,99,5.28,136
4.4,63,2,1,1,1,2,2,91,93,4.48,19
4.9,2,4,1,1,1,1,1,29,99,3.43,98
4.6,2,2,1,1,1,2,4,25,94,1.06,108
3.6,0,5,2,2,3,4,1,18,100,4.03,94
7.4,77,3,1,1,1,1,31,12,96,0.18,139
10,8,3,1,1,1,2,32,37,85,0.31,99
6.5,6,4,1,1,1,2,2,307,97,5.2,78
5.6,8,2,1,1,1,1,5,39,89,0.98,39
6.6,3,3,1,1,2,1,1,21,96,1.99,38
7.2,1,2,1,1,1,1,2,9,98,2.6,29
1.5,38,3,1,1,2,2,2,27,99,2.76,154
2.4,4,7,1,2,3,1,3,30,91,1.68,101
5.1,1,2,1,1,1,1,1,12,97,1.89,87
2.6,2,4,1,1,2,2,2,121,94,4.03,151
4.2,82,2,1,0,1,1,1,148,88,7.2,6
3.5,4,8,2,3,5,6,1,5,76,0.63,92
1.1,1,8,2,3,4,6,2,44,99,3.85,149
4.4,0,6,2,3,4,4,2,12,98,2.9,200
5.1,0,4,1,1,2,2,2,30,100,3.96,65
1.9,1,8,2,4,4,1,2,32,93,1.5,193
2.4,3,12,2,4,7,12,2,26,89,0.96,323
6.2,13,1,1,1,1,1,2,32,96,1.07,42
6.4,1,7,1,3,3,7,1,24,98,5.71,248
6.7,5,1,11,1,10,1,1,298,90,4.72,22
4.1,2,6,3,3,3,6,2,25,97,1.32,123
4.1,1,3,1,1,1,1,2,4,100,0.13,201
5.5,51,9,2.5,3,6,5,1,33,88,1.63,173
0.8,0,4,1,2,2,4,2,41,98,5.17,100
3.2,1,2,1,1,1,1,1,188,92,6.16,51
5.3,1,2,1.5,1,1,1,2,28,97,0.54,75
6.2,13,2,1,1,2,1,2,45,94,1.51,38
4.4,1,8,1.5,3,4,6,1,25,96,3.83,95
3.6,596,2,1,1,1,1,2,5,96,1.63,398
5.4,15,2,1,1,1,1,1,113,89,5.57,106
8.8,1,2,1,0,1,1,1,48,100,3.49,138
1.7,117,5,2,2,2,1,3,24,98,2.81,303
6.8,0,6,1,2,2,4,3,7,100,1.59,81
3.1,6,1,1,1,1,1,2,32,99,1.59,38
6.6,48,6,1.5,2,2,1,1,66,88,2.77,247
2.6,21,3,1,1,1,2,1,188,87,6.49,48
4.5,3,3,1,2,3,1,31,2,100,0.26,77
5.8,3,6,1,2,2,2,2,207,98,3.64,84
1.7,117,5,2,2,2,1,3,21,98,3,250
4,3,1,1,0,1,1,3,2,90,0.19,34
1.6,1,4,1,2,2,4,1,59,96,3.14,109
5.4,2,2,1,1,1,1,1,4,100,0.13,83
1.6,2,4,2,2,2,1,2,2,90,0.39,399
4.4,3,2,1,1,1,1,2,19,95,0.42,54
6.5,56,5,1,2,3,4,1,16,96,0.58,64
6.1,896,4,1,1,2,2,2,53,99,8.78,160
4.5,1,4,1,1,1,2,2,55,99,1.02,47
4.5,2,2,1,1,1,1,2,135,99,2.54,46
6.6,48,10,2,4,4,1,1,81,94,1.98,549
4.1,24,2,1,1,1,2,5,63,94,2.74,600
2.3,6,5,2,2,3,1,2,75,96,3.49,256
2.8,0,4,1,1,1,1,2,3,90,0.41,252
1.7,117,8,3.5,3,5,1,3,12,87,1.17,451
7.6,1,6,1,2,3,4,2,9,100,2.45,83
4.1,9,8,1,3,3,6,2,16,93,1.9,157
6.1,896,4,1,2,2,4,30,2,100,0.23,127
1.8,4,6,1,2,4,5,60,9,100,0.53,212
5,1,6,1,1,2,1,1,25,95,0.82,103
9.2,2,3,1,1,2,1,21,68,96,1.32,42
4.6,9,2,3,1,2,2,1,65,86,1.24,36
4.1,1,5,1,2,4,2,3,20,95,2.52,79
5,1,2,1,1,2,2,1,28,98,0.98,45
3.4,2,5,1,1,2,4,2,239,96,6.06,86
8,4,5,1,2,2,1,18,18,97,0.91,251
2.9,3,16,2,5,6,11,2,58,97,3.06,195
6.1,896,6,2,2,3,4,2,7,100,1,235
5.8,1,8,1,2,4,2,1,392,99,5.68,144
8.6,3,2,2.5,1,2,1,30,1,80,0.6,47
1.7,117,8,3,3,4,1,3,29,97,3.97,302
4.1,3,2,1,1,1,1,1,1,100,0.07,42
2.7,1,2,1,1,1,2,1,28,94,3.51,63
4.4,63,3,1,1,1,2,2,57,89,3.03,20
0.6,0,6,1,3,3,6,2,7,100,1.44,248
0.8,3,2,2,1,0,1,1,2,90,0.57,127
4.2,82,2,1.5,0,1,1,1,68,91,6.07,6
4.7,2,2,1,1,1,1,2,80,91,1.78,81
5,1,2,1,1,1,1,14,11,91,1.12,96
2.1,34,8,1,3,4,1,2,10,92,0.74,244
3.6,596,4,1,1,2,1,2,1,100,1,401
2.1,34,4,1,1,2,2,2,4,95,0.92,505
4.3,4,8,2,3,3,6,2,278,96,5.76,202
0.8,1,14,4.5,5,11,1,3,17,100,3.31,306
4,2,4,2,2,2,4,2,67,98,4,151
2.1,0,3,1,0,2,1,2,17,94,3.13,102
6.1,1,4,1,1,1,2,1,128,99,3.91,121
6.4,1,2,1,1,1,1,1,4,100,0.23,67
6.1,896,6,3,3,3,6,2,39,95,1.15,244
5.7,11,2,1,1,1,1,32,25,98,0.58,57
4.6,8,14,2,5,8,1,1,21,90,3.1,299
5.4,1,2,1,1,0,1,2,5,75,0.23,72
3.6,596,4,1,1,2,1,2,1,100,0.81,399
7.3,1,2,1,1,1,1,2,112,99,2.15,51
6.4,36,2,1,0,1,1,31,1,100,0.83,94
2,22,5,1,2,3,4,1,41,95,1.96,182
8.6,0,5,1,2,3,2,1,5,100,1.76,129
2,2,5,2,2,3,5,3,43,97,2.6,114
5.4,2,4,1,2,2,4,1,43,100,7.68,147
5,6,6,2,3,3,4,2,30,99,3.26,148
4.2,1,7,1,2,3,6,2,190,99,5.58,127
6.8,1,2,1,1,1,1,2,46,98,1.37,74
6.2,33,9,2,3,5,3,1,48,94,5.07,161
3.2,33,2,3,1,1,1,1,122,93,5.75,59
1,7,2,1,1,1,1,1,8,90,2.02,51
3.5,2,6,1,2,2,2,1,31,92,2.61,67
5.7,0,3,1,0,1,1,3,16,96,2.29,171
